423043,40,2789,95432
698297,-1,6807,130091
893381,-1,3883,24338
906517,-1,7324,118463
2749,-1,36,18
22859,24,148,598
274061,-1,1626,7921
12697,-1,170,1249
636967,-1,3908,57291
963223,265,6332,65843
504221,-1,2820,16439
718999,-1,4387,37236
105499,-1,1115,6116
92189,-1,1173,14446
413461,-1,2953,30365
597613,-1,4462,72831
207971,263,2172,43203
78439,25,486,2282
93563,46,896,9203
41759,52,361,2351
139483,117,1459,27669
989981,-1,3983,24480
160879,63,1643,20528
412793,-1,4202,71168
294439,39,2645,28928
445463,40,5788,22717
376049,-1,2082,35887
820681,-1,2719,10248
790219,41,5325,112713
191579,42,610,2877
887141,-1,4296,24240
994723,141,8481,126566
197573,-1,1328,27528
472261,-1,2738,33807
12527,27,471,8
939739,44,5172,75511
924529,-1,6095,143197
104383,-1,633,5855
117883,30,1137,24760
713599,165,4344,93906
919033,-1,8459,151640
922813,-1,4777,46865
595373,-1,10640,33965
378223,32,4554,79448
127037,-1,1429,17473
297991,-1,1282,141
151279,-1,1324,13835
423191,70,2035,8998
207241,-1,2366,34425
24379,-1,270,2155
310501,-1,3958,31011
452269,-1,2976,32829
547087,-1,5281,86185
185441,-1,2071,48951
487933,-1,2469,14949
212923,51,1830,21798
239699,28,1829,56977
648689,-1,2658,8718
65777,-1,2650,9346
199343,126,1945,38691
81569,-1,742,9168
548897,-1,4663,63215
552469,-1,2926,20300
184693,-1,16376,12924
265241,-1,5776,31616
746017,-1,30397,148380
725437,-1,16707,63232
129719,37,36923,20305
211741,-1,3013,10759
976607,100,21474,150840
879607,-1,5749,133870
832763,889,6894,137015
462851,-1,3453,92790
912217,-1,10108,183039
184291,103,1420,12006
324647,97,1632,11475
529003,34,2408,12238
307759,-1,2148,23621
421987,-1,3222,36553
536353,-1,4467,65940
52267,173,2162,1255
250871,116,2118,27485
129919,-1,872,15390
231677,-1,2253,32628
211811,32,1787,20826
766687,38,4856,57512
177467,383,1651,24882
326219,114,2653,36449
208961,-1,1138,8137
227893,-1,1767,34358
958369,-1,5745,68622
721043,-1,3780,41536
922807,28,5755,102587
824419,674,4700,30849
530209,-1,611,9251
51307,-1,17547,242027
83003,-1,790,7990
369029,-1,3043,41207
757403,207,4171,29721
176713,-1,866,3582
469529,-1,5022,71004
490537,-1,5210,83319
695377,-1,4680,40911
325607,67,1338,4457
714677,-1,2782,28420
197567,343,1762,38373
390673,-1,1901,13645
697973,-1,7320,169281
765251,40,6762,113088
92419,-1,616,147
673349,-1,3058,68236
315223,155,3015,109115
273899,48,2546,34354
879673,-1,6100,76013
64483,341,492,1817
41771,35,652,3204
146317,-1,1800,24849
171917,-1,754,2677
417451,546,3238,45726
294023,51,1060,1604
993479,321,13469,43597
109303,27,5042,18284
639719,76,4172,109117
41771,-1,525,5993
147209,-1,1448,14743
73453,-1,776,10042
895231,-1,8408,112984
582227,99,2183,4894
512047,101,3108,7935
510889,-1,8316,117013
7229,-1,3260,273
192091,79,7047,20324
179749,-1,971,6427
709097,-1,5844,78122
598541,-1,4120,47809
912049,-1,13645,17699
225683,60,4962,15421
53,-1,12,26
334423,76,16065,50506
569771,48,10645,108776
100357,-1,692,974
225749,32,1581,15732
975847,-1,1970,25529
301579,63,2317,29953
371479,81,6308,138942
477013,-1,12727,16491
350039,77,8345,43220
855203,120,10201,240429
902039,70,1099,15921
976559,72,1083,6550
100517,-1,33909,56242
111767,51,27439,232964
746411,655,6741,99585
560827,108,5616,41366
116089,-1,1667,17390
920291,73,8369,516
704101,-1,587,5536
50789,-1,6689,104871
335917,-1,2361,20656
398393,-1,3296,47634
617531,-1,4326,51765
42331,-1,425,3582
110273,-1,959,10115
384697,-1,1795,10192
172027,114,1738,21434
153449,-1,1270,16727
338161,-1,7911,32803
1499,12,56,26
395671,595,3313,52468
526633,-1,2425,30094
405667,213,3964,82813
46771,-1,296,85
747889,-1,6633,26703
313979,70,1890,21752
877699,-1,22543,184507
670903,-1,487,3765
49103,23,9476,93387
738487,34,1649,16584
208807,-1,10927,101497
469379,83,4333,68044
213359,124,2130,57927
828743,80,10867,129516
718579,-1,3608,17912
965023,124,4568,24813
84047,33,875,9387
94057,-1,2992,212
769751,67,3448,47272
236519,78,1655,12186
67751,54,756,19457
886177,-1,30290,156333
434981,-1,31797,40311
335843,215,21454,9833
649277,-1,19382,53581
481157,-1,5363,66152
196277,-1,792,2977
339811,-1,1447,4488
6473,-1,812,404
960131,-1,4368,12409
24859,37,343,12127
785573,-1,4345,23855
925901,-1,5629,78362
791543,89,6195,71616
255469,-1,1651,12361
797851,30,7222,114714
593587,-1,3822,39977
309731,59,2806,36562
291829,-1,1522,5708
553051,61,5261,70880
684163,285,4410,46492
415447,94,2583,25218
762061,-1,6279,119822
275503,-1,2511,32214
8863,-1,74,6
381347,94,1846,7957
85061,-1,393,585
384067,-1,4131,27005
84589,-1,496,528
326597,-1,2418,62617
955901,-1,9763,164805
527987,92,6228,89635
457003,-1,3313,31986
778537,-1,9430,149843
416333,-1,3726,60071
631223,187,5627,75120
745621,-1,9534,116994
319849,-1,3392,48504
733133,-1,3970,71695
473617,-1,4863,78132
237571,154,1530,12753
994489,-1,5740,49745
454063,-1,11491,148218
340897,-1,1829,11921
