71191,0
132283,0
157799,0
765931,2
1341617,6
1353301,5
1388837,5
1584113,4
2246393,10
2473663,7
2582863,13
2668889,12
2871287,10
2897119,12
3051017,12
3246907,15
3343387,17
3453071,18
3528887,8
3723787,12
4064839,16
5177647,18
5454643,17
5456387,26
5497463,19
5625149,30
5884559,22
6007559,17
6093709,20
6245513,33
6402401,26
6611993,33
6613043,18
6827551,29
6934859,15
7092131,23
7153681,40
7525519,42
7599337,19
7801897,31
8349337,39
8413021,44
8579639,46
8811653,26
9233447,35
9271337,33
9568583,50
9880579,32
9436967,51
2457341,13
400009,1
6434111,31
6642439,21
7789559,31
6212407,14
6365959,24
6424727,14
2508073,13
7564163,39
2355247,6
716783,3
1633531,7
5958047,13
9762679,52
9795781,104
4221953,16
737291,4
276049,1
377471,1
2619277,18
804613,3
7676939,30
5838779,32
8391947,28
3586087,18
6138667,37
1192039,6
4972321,14
1226707,5
7539743,39
2109697,6
3269267,17
5745911,25
915139,3
2829133,7
4315579,13
7407251,32
5190011,28
6485599,20
2571809,12
4034297,10
255313,0
3348481,12
4348177,17
737981,2
4216813,17
2306063,10
1640183,6
1895357,8
8825503,29
6231241,17
162251,0
9787177,45
1919479,8
7593661,34
7134877,16
9285929,22
2555951,9
9535931,33
1644931,8
670199,3
580793,1
3134707,12
3918529,11
3238591,12
6628057,15
2873081,14
5602999,18
3685247,14
7475387,37
6206779,45
8629661,61
7961621,26
5919181,21
8074277,48
6690029,20
9050189,49
9977971,29
8624237,26
6990913,38
4261979,12
9017263,35
4313851,23
3432503,8
5756207,29
6777137,16
476317,1
3710617,11
9066359,37
1779619,7
8171297,21
224443,1
371927,2
9921997,32
5661083,15
3459563,14
9547607,38
5888719,26
7400011,30
7022569,36
4483751,14
9844099,34
7475333,41
92381,0
8712181,31
8594029,18
8957957,46
1781783,10
8390029,44
3868201,16
7983611,20
5859617,16
18131,0
5027293,15
9941189,49
203761,1
8039257,43
8747987,38
9322627,43
8314433,30
5276119,20
4679771,18
8122417,28
559631,3
7892153,32
6468577,18
4814903,20
7282903,33
7265317,27
4878581,15
2988911,11
5522873,28
2629001,13
1988057,5
7000849,34
7360921,33
7178221,37
8656433,39
8931119,42
3949247,19
